audio_id,text,true_label,predicted_class,confidence,p_handover,severity,tier,meta_prob_anger,meta_prob_frustration,meta_prob_sadness,meta_prob_neutral,meta_prob_satisfaction,prob_anger,prob_frust,prob_sadne,prob_neutr,prob_satis,goemo_anger,goemo_disgust,goemo_fear,goemo_joy,goemo_neutral,goemo_sadness,vader_pos,vader_neg,vader_neu,vader_compound,sb_ang,sb_hap,sb_sad,sb_neu
test_01422,"Well, I y'know, I was just, umm, I was just thinking and hoping, that umm, maybe youd want to get back together?",frustration,neutral,0.9997856,7.477082e-05,3,A_FN_frustration,5.3219264e-05,2.1551554e-05,2.0479421e-05,0.9997856,0.00011915908,0.000118613243103,0.06695556640625,0.0012426376342773,0.93115234375,0.0003063678741455,0.1414049863815307,0.1427788436412811,0.2424586415290832,0.0995489731431007,0.2725008428096771,0.0716499760746955,0.246,0.0,0.754,0.6369,0.0110412556678056,0.638189435005188,0.2327024489641189,0.1180669069290161
test_00173,But Ben is coming over tonight and he cant see this.,frustration,neutral,0.9997764,8.850057e-05,3,A_FN_frustration,5.3579068e-05,3.49215e-05,3.7749785e-05,0.9997764,9.737549e-05,5.7220458984375e-06,0.0106430053710937,0.0029163360595703,0.98583984375,0.0008249282836914,0.234571948647499,0.1813342571258545,0.0772463604807853,0.0193807687610387,0.0798834562301635,0.1350039988756179,0.0,0.0,1.0,0.0,0.9234887361526488,0.0591095648705959,0.0003978012537118,0.0170039813965559
test_00008,Why are there only two of you?,frustration,neutral,0.99976593,7.060137e-05,3,A_FN_frustration,4.8442154e-05,2.2159216e-05,2.9827333e-05,0.99976593,0.00013362737,0.0078582763671875,6.318092346191406e-06,8.404254913330078e-06,0.9921875,1.9550323486328125e-05,0.0245098881423473,0.0133951716125011,0.0052919397130608,0.0009106036159209,0.1042418107390403,0.0102135576307773,0.0,0.0,1.0,0.0,0.0079737091436982,0.8223002552986145,0.0114888940006494,0.1582371592521667
test_00310,"Wait-wait-wait, do you, do you think, maybe we shouldnt invite her?",frustration,neutral,0.9997477,0.00011623135,3,A_FN_frustration,7.7085526e-05,3.9145823e-05,4.494571e-05,0.9997477,9.114654e-05,6.020069122314453e-06,0.0039939880371093,0.0090255737304687,0.98681640625,0.0002782344818115,0.0402838289737701,0.0072854617610573,0.9098749756813048,0.0036913724616169,0.0217309314757585,0.0115738753229379,0.138,0.0,0.862,0.1531,0.0005861129029653,0.841275155544281,0.0015084454789757,0.156630277633667
test_01638,I'm trppd... in an ATM vstbl... wth,frustration,neutral,0.99970824,0.000112464586,3,A_FN_frustration,6.7944726e-05,4.451986e-05,3.3911914e-05,0.99970824,0.00014539788,4.0531158447265625e-06,6.520748138427734e-05,0.0006451606750488,0.9931640625,0.0061721801757812,0.0067400801926851,0.0029689699877053,0.0050559500232338,0.0259717535227537,0.1568605154752731,0.0758396461606025,0.0,0.362,0.638,-0.5267,0.0023515180218964,0.6451959609985352,0.1476910412311554,0.2047614902257919
test_01170,"Im not worried, Im uh, Im fascinated.",frustration,neutral,0.9996081,0.00016161094,3,A_FN_frustration,0.00012982778,3.178316e-05,3.246676e-05,0.9996081,0.0001977939,3.3855438232421875e-05,0.060516357421875,5.286931991577149e-05,0.93896484375,0.000251293182373,0.0351546667516231,0.0266903229057788,0.6649026870727539,0.028568759560585,0.0995362102985382,0.017960887402296,0.499,0.0,0.501,0.6108,0.024234464392066,0.8141729831695557,0.009563217870891,0.1520293354988098
test_00096,Are we okay now?,frustration,neutral,0.9995857,0.00015329762,3,A_FN_frustration,0.0001349261,1.8371511e-05,2.476702e-05,0.9995857,0.00023629938,0.10064697265625,1.3053417205810549e-05,0.0001710653305053,0.87939453125,0.019561767578125,0.3828978538513183,0.0432468205690383,0.144867405295372,0.033906701952219,0.298370748758316,0.045025996863842,0.388,0.0,0.612,0.2263,0.1276486665010452,0.6123605966567993,0.0172814279794693,0.2427093237638473
test_00175,I mean theres no way Joeys gonna make it in time.,frustration,neutral,0.9989359,0.0003664383,3,A_FN_frustration,0.00022815354,0.00013828475,0.00019443283,0.9989359,0.0005032221,3.719329833984375e-05,0.0199737548828125,0.1424560546875,0.69287109375,0.14453125,0.1880100667476654,0.1786019802093505,0.0926376059651374,0.0233423355966806,0.1834886074066162,0.094977855682373,0.0,0.18,0.82,-0.296,0.5052949786186218,0.1582942903041839,0.1517617851495742,0.1846489906311035
test_00777,"When youre done over there, we kinda have a situation over here too.",frustration,neutral,0.99754083,0.001599502,3,A_FN_frustration,0.0014948597,0.00010464241,0.000107894026,0.99754083,0.0007517409,0.389404296875,8.96453857421875e-05,3.3974647521972656e-05,0.6103515625,1.609325408935547e-05,0.0846120789647102,0.2443091720342636,0.028710912913084,0.0355323813855648,0.5376892685890198,0.0269465167075395,0.0,0.0,1.0,0.0,0.0206186082214117,0.781696081161499,0.007320468313992,0.1903648823499679
test_00504,"It have a fear of heights, you go to the top of the building!",frustration,neutral,0.99428046,0.0046866285,3,A_FN_frustration,0.003937707,0.00074892165,0.00041073622,0.99428046,0.00062210654,0.251953125,0.0260467529296875,0.0001125931739807,0.7216796875,6.29425048828125e-05,0.0201680194586515,0.004768440965563,0.9304981231689452,0.0042862403206527,0.0201719012111425,0.0046044723130762,0.104,0.202,0.694,-0.4003,0.2434673309326172,0.701904833316803,9.309925371780992e-05,0.0545346401631832
